"x","y"
494602.418742013,426395.176012631
488519.868323949,426124.381214968
500126.654754858,423058.899816795
512766.100741084,423116.994884481
541374.413610339,398944.232628127
551313.87089676,384469.499432866
557600.643130205,365128.575825692
554023.993728327,356232.415166739
548182.007005189,350362.529706713
542756.300606663,343692.013902192
537693.557923484,336201.671789697
553763.454096854,325895.675699199
557148.917095222,326330.385783907
560586.786546512,327954.364553787
563811.363434127,331732.032992528
569145.620541103,340848.564915463
571939.07340077,344128.096126643
581678.986256674,345632.791558886
589913.175919342,345265.110569401
598169.580467945,343623.248272866
605331.131617772,344548.520205489
619991.02566241,341359.757203963
627602.044147113,338252.165752187
646858.93817792,323615.341099849
651303.430222578,315319.583135497
653715.235918366,304438.608322258
654566.210345487,292273.979256475
652000.330844201,280983.81237841
648898.668875231,270752.210556809
647315.531912336,257666.192621557
645958.024333203,252913.268925456
643918.748445287,249145.053544759
634434.589138423,238427.661260896
627991.334044318,233912.978721636
625104.133542291,235631.591914373
622124.742342985,235242.496031695
621918.778908425,232769.214502677
625314.277027325,227682.635839093
625638.454867653,221376.253895275
619924.983118293,216444.758194744
613992.014602676,214192.530395886
603816.867580791,216260.363830119
590164.862806655,207014.994141939
600409.332435573,202936.844681089
602631.42984862,198262.112695194
600435.944132152,189800.74833175
594225.211977167,185823.639939955
587237.056691713,183908.232829802
580030.301207191,183250.728618883
574118.663069512,180995.319286999
568508.928612487,176860.135956127
575646.306933648,179199.726055238
580708.044178536,177539.716889258
584102.269882896,170616.048641137
587028.46319081,168705.655055113
601257.815003051,166234.937363627
609998.664794333,166608.741855107
626780.050980147,169040.042655196
634874.646655404,169362.820350053
637821.612627486,168226.403082532
638140.861349955,162398.700427673
637545.000305567,148020.632288548
635442.219203508,144964.671501145
613491.289808076,131956.132681338
609218.421029171,123364.092748311
608127.291189277,118219.964976162
594898.07208787,118608.283668082
588912.421701484,112994.287419322
578341.329430149,109044.1770641
570190.685555634,104961.31742241
562237.750959245,99898.1732565406
555609.493480559,98256.2424672702
526629.338763595,103182.226672868
509247.949382451,102321.721665149
485764.875929022,96907.6897240116
479678.114398613,97631.3551289026
470503.749318804,102262.145220539
461147.506277578,105364.357442515
450418.430000558,106666.851737847
441135.25627352,110983.788939035
446976.957056666,102572.871091209
434190.581803007,94317.5917716338
428267.222826434,92658.7404004623
422121.975613411,92884.4350695723
409555.64940637,90631.2464618813
397904.319890336,91752.5806427108
399654.649810375,85953.1605898825
402779.795467753,80898.7629311361
400244.840868869,78699.0698449563
397559.930581437,78151.294657598
375334.946376628,82026.3196679924
372181.987326117,81320.0112126019
369419.334748193,77811.5043594886
361343.451293808,79765.4264658763
353537.312961361,85769.4275505969
345232.227739845,89835.7139330202
336504.219320182,91808.1323816557
329540.131988313,91251.3262972205
300759.111181585,82355.6663407524
294852.495320742,73074.5247054944
291714.450296246,59814.8749335317
287307.768990603,48077.3429747749
280310.664680341,39121.9873728978
272183.535042165,38121.8483084502
264724.688971329,44613.5367071884
250444.814402794,51962.4329609299
245663.48931212,56805.0975022848
244106.445543275,57127.9462430527
242442.527413583,55492.9456690771
236711.55420327,53542.3716663339
230839.393607174,53629.2202449205
221729.575369889,52053.6576646189
205778.161479336,46951.538293729
199265.419368295,43351.0893722315
185143.857621774,33302.5325481918
182230.985843737,30484.9822810374
176792.317034451,20015.0334063736
169069.261618242,18456.2571842902
